"filename", "language", "Log", "C++", "Verilog", "Batch", "Python", "C", "HTML", "Ini", "Markdown", "XML", "Properties", "Java", "CSS", "comment", "blank", "total"
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\SyscallLoader.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 57, 10, 170
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\AbstractSyscall.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 65, 8, 94
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\RandomStreams.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 34, 4, 43
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\Syscall.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 60, 7, 76
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallClose.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 38, 5, 55
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallConfirmDialog.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 47, 9, 87
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallExit.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 38, 5, 54
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallExit2.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 40, 5, 60
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallInputDialogDouble.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 55, 17, 133
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallInputDialogFloat.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 56, 21, 131
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallInputDialogInt.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 51, 13, 120
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallInputDialogString.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 54, 14, 138
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallMessageDialog.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 47, 11, 91
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallMessageDialogDouble.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 42, 11, 97
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallMessageDialogFloat.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 42, 11, 87
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallMessageDialogInt.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 42, 11, 87
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallMessageDialogString.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 42, 13, 105
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallMidiOut.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 51, 10, 84
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallMidiOutSync.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 62, 11, 96
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallNumberOverride.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 50, 12, 85
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallOpen.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 70, 6, 109
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintChar.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 40, 6, 59
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintDouble.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 39, 5, 58
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintFloat.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 37, 5, 55
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintInt.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 38, 5, 56
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintIntBinary.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 38, 5, 55
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintIntHex.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 38, 5, 55
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintIntUnsigned.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 39, 5, 57
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallPrintString.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 38, 5, 70
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls\SyscallRandDouble.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 42, 7, 76
