"filename", "language", "Log", "HTML", "Python", "Batch", "Verilog", "C++", "Ini", "C", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002448244074_0621066737.c", "C", 0, 0, 0, 0, 0, 0, 0, 1394, 0, 0, 12, 175, 1581
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002468124147_1652240620.c", "C", 0, 0, 0, 0, 0, 0, 0, 357, 0, 0, 12, 46, 415
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002528327048_2924402094.c", "C", 0, 0, 0, 0, 0, 0, 0, 5773, 0, 0, 12, 574, 6359
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002583860964_0258635663.c", "C", 0, 0, 0, 0, 0, 0, 0, 1423, 0, 0, 12, 139, 1574
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002715079085_3224323566.c", "C", 0, 0, 0, 0, 0, 0, 0, 1051, 0, 0, 12, 132, 1195
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002749918184_3508565487.c", "C", 0, 0, 0, 0, 0, 0, 0, 5078, 0, 0, 12, 839, 5929
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000003164928585_2838810837.c", "C", 0, 0, 0, 0, 0, 0, 0, 499, 0, 0, 12, 85, 596
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000003767668847_3975733304.c", "C", 0, 0, 0, 0, 0, 0, 0, 1846, 0, 0, 12, 233, 2091
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000004134447467_2073120511.c", "C", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 12, 41, 338
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\mips_tb_isim_beh.exe_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 11, 12, 55
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\mips_summary.html", "HTML", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\run.py", "Python", 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 7, 13, 254
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\CP0.v", "Verilog", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 4, 9, 65
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\CPU.v", "Verilog", 0, 0, 0, 0, 397, 0, 0, 0, 0, 0, 15, 50, 462
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\CTR.v", "Verilog", 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 10, 28, 261
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\src\D2E.v", "Verilog", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
